Stato,AbbStato,Popolazione (1-4-2020),Capitale
Alabama,Ala.,5 024 279,Montgomery
Alaska,Alaska,733 391,Juneau
Arizona,Ariz.,7 151 502,Phoenix
Arkansas,Ark.,3 011 524,
California,Calif.,39 538 223,Sacramento
Colorado,Colo.,5 773 714,
Connecticut,Conn.,3 605 944,Hartford
Delaware,Del.,989 948,Dover
Florida,Fla.,21 538 187,Tallahassee
Georgia,Ga.,10 711 908,Atlanta
Guam,Guam,168 485,
Hawaii,Hawaii,1 455 271,
Idaho,Idaho,1 839 106,Boise
Illinois,Ill.,12 812 508,Springfield
Indiana,Ind.,6 785 528,Indianapolis
Iowa,Iowa,3 190 369,Des Moines
Kansas,Kans.,2 937 880,Topeka
Kentucky,Ky.,4 505 836,Frankfort
Louisiana,La.,4 657 757,Baton Rouge
Maine,Maine,1 362 359,Augusta
Maryland,Md.,6 177 224,Annapolis
Massachusetts,Mass.,7 029 917,Boston
Michigan,Mich.,10 077 331,Lansing
Minnesota,Minn.,5 706 494,Saint Paul
Mississippi,Miss.,2 961 279,Jackson
Missouri,Mo.,6 154 913,Jefferson City
Montana,Mont.,1 084 225,Helena
Nebraska,Nebr.,1 961 504,Lincoln
Nevada,Nev.,3 104 614,Carson City
New Hampshire,N.H.,1 377 529,Concord
New Jersey,N.J.,9 288 994,
New York,N.Y.,20 201 249,Albany
Ohio,Ohio,11 799 448,Columbus
Oklahoma,Okla.,3 959 353,Oklahoma City
Oregon,Oreg.,4 237 256,Salem
Pennsylvania,Pa.,13 002 700,Harrisburg
Rhode Island,R.I.,1 097 379,
Tennessee,Tenn.,6 910 840,Nashville
Texas,Tex.,29 145 505,Austin
Utah,Utah,3 271 616,Salt Lake City
Vermont,Vt.,643 077,Montpelier
Virginia,Va.,8 631 393,Richmond
Washington,Wash.,7 705 281,Olympia
Wisconsin,Wis.,5 893 718,Madison
Wyoming,Wyo.,576 851,Cheyenne
